================================================================================
 Задание 4 — Блок 1: перебор гиперпараметров CNN на MNIST
 Устройство: cuda
================================================================================
 train: 8000 | val: 2000 | test: 2000

img: ./MNIST.png

Конфигураций в сетке: 72

  [#05] эпоха  12/20 | train_loss=1.1075 val_loss=1.0903 | train_acc=0.6725 val_acc=0.6435
  [#05] эпоха  14/20 | train_loss=1.0055 val_loss=0.9933 | train_acc=0.7059 val_acc=0.7010
  [#05] эпоха  16/20 | train_loss=0.9116 val_loss=0.9313 | train_acc=0.7381 val_acc=0.7065
  [#05] эпоха  18/20 | train_loss=0.8363 val_loss=0.8449 | train_acc=0.7628 val_acc=0.7630
  [#05] эпоха  20/20 | train_loss=0.7728 val_loss=0.7870 | train_acc=0.7808 val_acc=0.7750

>>> block=a | channels=(8, 16) | conv(k=5, s=1) | pool(k=2, s=2) | lr=0.001 | params=3,594
  [#06] эпоха   1/20 | train_loss=2.2482 val_loss=2.1188 | train_acc=0.1649 val_acc=0.2600
  [#06] эпоха   2/20 | train_loss=2.0292 val_loss=1.9291 | train_acc=0.2786 val_acc=0.3410
  [#06] эпоха   4/20 | train_loss=1.7286 val_loss=1.6230 | train_acc=0.4280 val_acc=0.4705
  [#06] эпоха   6/20 | train_loss=1.3462 val_loss=1.2547 | train_acc=0.6004 val_acc=0.6425
  [#06] эпоха   8/20 | train_loss=1.0263 val_loss=0.9718 | train_acc=0.7274 val_acc=0.7205
  [#06] эпоха  10/20 | train_loss=0.8107 val_loss=0.7763 | train_acc=0.7766 val_acc=0.7865
  [#06] эпоха  12/20 | train_loss=0.6600 val_loss=0.6322 | train_acc=0.8145 val_acc=0.8225
  [#06] эпоха  14/20 | train_loss=0.5596 val_loss=0.5485 | train_acc=0.8414 val_acc=0.8470
  [#06] эпоха  16/20 | train_loss=0.4854 val_loss=0.5027 | train_acc=0.8628 val_acc=0.8500
  [#06] эпоха  18/20 | train_loss=0.4314 val_loss=0.4477 | train_acc=0.8785 val_acc=0.8680
  [#06] эпоха  20/20 | train_loss=0.3938 val_loss=0.4047 | train_acc=0.8882 val_acc=0.8805

>>> block=a | channels=(8, 16) | conv(k=5, s=2) | pool(k=2, s=1) | lr=0.001 | params=3,594
  [#07] эпоха   1/20 | train_loss=2.2251 val_loss=2.0635 | train_acc=0.1969 val_acc=0.2970
  [#07] эпоха   2/20 | train_loss=1.9141 val_loss=1.7307 | train_acc=0.3499 val_acc=0.4435
  [#07] эпоха   4/20 | train_loss=1.2040 val_loss=1.0363 | train_acc=0.6620 val_acc=0.7035
  [#07] эпоха   6/20 | train_loss=0.7477 val_loss=0.6979 | train_acc=0.7884 val_acc=0.7985
  [#07] эпоха   8/20 | train_loss=0.5557 val_loss=0.5449 | train_acc=0.8410 val_acc=0.8450
  [#07] эпоха  10/20 | train_loss=0.4538 val_loss=0.4489 | train_acc=0.8730 val_acc=0.8780
  [#07] эпоха  12/20 | train_loss=0.3870 val_loss=0.3916 | train_acc=0.8945 val_acc=0.8885
  [#07] эпоха  14/20 | train_loss=0.3407 val_loss=0.3524 | train_acc=0.9069 val_acc=0.8930
